path	translation	split
common_voice_ta_19137384.mp3	The rice doesn't taste of much	test
common_voice_ta_19137385.mp3	He got there by running, and the old man followed him	test
common_voice_ta_19137386.mp3	“Girl, he is blessed with Raman—up to the sky	test
common_voice_ta_19137387.mp3	He will suddenly lift while above.	test
common_voice_ta_19137388.mp3	Like a peacock she was ready to play	test
common_voice_ta_19165032.mp3	The house number is sixty two but	test
common_voice_ta_19165033.mp3	‘Why are you standing in the street’	test
common_voice_ta_19165034.mp3	like the meaning of thirukkural whe you stand high	test
common_voice_ta_19165035.mp3	its like a peak	test
common_voice_ta_19165036.mp3	wondering when would I match	test
common_voice_ta_19195633.mp3	Learn while young	test
common_voice_ta_19195634.mp3	Hey lady standing on the sea bridge	test
common_voice_ta_19195635.mp3	The poor are like a leaf full of holes	test
common_voice_ta_19195636.mp3	My dear!- say aloud	test
common_voice_ta_19195637.mp3	There exist only two castes	test
common_voice_ta_19232614.mp3	poverty galore	test
common_voice_ta_19232616.mp3	Libraries needed throughout the country	test
common_voice_ta_19232617.mp3	Can the world suffer in misery?	test
common_voice_ta_19232620.mp3	Intellectual knowledge takes priority before food	test
common_voice_ta_19232621.mp3	Roam not around like a pauper	test
common_voice_ta_19136944.mp3	Leave thy wife and go behind other women	test
common_voice_ta_19136945.mp3	‘’ You go to Elanthaiyur	test
common_voice_ta_19136946.mp3	Bask in the evening sun--	test
common_voice_ta_19136947.mp3	Let there be revolution and public eat blood soaked food	test
common_voice_ta_19136948.mp3	Oh that poor policeman	test
common_voice_ta_19329184.mp3	Let ‘darkness’ go away from the Tamils life	test
common_voice_ta_19329185.mp3	Love to donate	test
common_voice_ta_19329186.mp3	What difference you noticed between the people in the world?	test
common_voice_ta_19329187.mp3	Its calm and quiet in the assembly	test
common_voice_ta_19329188.mp3	Let’s boil the milk and drink it said she	test
common_voice_ta_19748302.mp3	Gaining support doesn’t give you a hold	test
common_voice_ta_19748303.mp3	Don’t torture-to acquire wealth	test
common_voice_ta_19748304.mp3	I lost myself in these	test
common_voice_ta_19748305.mp3	He struggled to even swallow the soft pancake	test
common_voice_ta_19748352.mp3	Humiliation based on colour and religion	test
common_voice_ta_19748355.mp3	The stream and lotus welcome you	test
common_voice_ta_19635692.mp3	You like this?	test
common_voice_ta_19635693.mp3	caressed his wife’s head;Oh no!	test
common_voice_ta_19635694.mp3	That love look from the dame-towards him	test
common_voice_ta_19635695.mp3	vast universe!	test
common_voice_ta_19635718.mp3	What a beautiful poem	test
common_voice_ta_19635721.mp3	Standing in the adjoining balcony	test
common_voice_ta_19635723.mp3	united they succeeded-jointly	test
common_voice_ta_19390093.mp3	The housewife with her stretched legs	test
common_voice_ta_19390094.mp3	pay the money and travel	test
common_voice_ta_19390097.mp3	There is no odour in the soil	test
common_voice_ta_19390108.mp3	I will cook well	test
common_voice_ta_19390109.mp3	The great Tamil people’s insensitive well being?	test
common_voice_ta_19390110.mp3	Similar to the sea	test
common_voice_ta_19390112.mp3	As they grow	test
common_voice_ta_19713616.mp3	with all good virtues imbibed in it	test
common_voice_ta_19713622.mp3	forget not to weigh the pros and cons	test
common_voice_ta_19728354.mp3	Thou shall finish it well	test
common_voice_ta_19728355.mp3	You are equal to women	test
common_voice_ta_19728356.mp3	translate into Tamil for reading	test
common_voice_ta_19728426.mp3	creating captious argument	test
common_voice_ta_19728428.mp3	Didn’t invite to eat	test
common_voice_ta_19278003.mp3	Don’t do evil things	test
common_voice_ta_19278004.mp3	He and she-- bound by heart	test
common_voice_ta_19278006.mp3	Even if it’s your enemy, don’t ridicule him, even if it is for a short time, because it will hurt them. A respectable person wont do it.	test
common_voice_ta_19278009.mp3	I am unwell	test
common_voice_ta_19278012.mp3	Like a ferocious tiger lying weak	test
common_voice_ta_19278027.mp3	Like the hero banging the heavy door	test
common_voice_ta_19278029.mp3	The moon sparkling like silver streaks	test
common_voice_ta_19278030.mp3	Where are you now?	test
common_voice_ta_19278031.mp3	Never play with a snake	test
common_voice_ta_19278033.mp3	Ilangovadikal’s father Emayavaramban Neduncheralanathan	test
common_voice_ta_19329189.mp3	Like the money grabbed by the cabaret dancer	test
common_voice_ta_19329190.mp3	The bright blue sky-over there	test
common_voice_ta_19329191.mp3	Any day is a good day!	test
common_voice_ta_19329192.mp3	Hi friend, how are you?	test
common_voice_ta_19329193.mp3	The poverty stricken labourers increased, What could I do!	test
common_voice_ta_19423196.mp3	As those superstitions	test
common_voice_ta_19423199.mp3	He slapped me	test
common_voice_ta_19423201.mp3	Would say temple development works	test
common_voice_ta_19423203.mp3	stand with pride	test
common_voice_ta_19423205.mp3	The taste caused concerns	test
common_voice_ta_19345213.mp3	will measure the sky as well the fishes in the ocean	test
common_voice_ta_19345215.mp3	both listened from here, because	test
common_voice_ta_19345219.mp3	Saved the poet and the lover!	test
common_voice_ta_19345220.mp3	Appearance diminished and gasping for breath	test
common_voice_ta_19345222.mp3	if you understand me	test
common_voice_ta_19345234.mp3	developed streets on the four sides	test
common_voice_ta_19345236.mp3	Appeared as if the dame is still sleeping	test
common_voice_ta_19345238.mp3	nothing wrong with the food	test
common_voice_ta_19345240.mp3	cleared his throat as if in the dark	test
common_voice_ta_19345241.mp3	hoping divine intervention observed rituals	test
common_voice_ta_19541185.mp3	Hey darling ! what will you give me?	test
common_voice_ta_19541186.mp3	I am not bothered about life-thundered the lady	test
common_voice_ta_19541198.mp3	Realise the truth with both eyes	test
common_voice_ta_19541199.mp3	Is there any other book in the world like this?	test
common_voice_ta_19541200.mp3	town crier	test
common_voice_ta_19541201.mp3	The sound alerted everyone	test
common_voice_ta_19541202.mp3	I have stolen your eyes and thoughts’’!	test
common_voice_ta_19541233.mp3	would have reached by now! and would have taken it by now!	test
common_voice_ta_19541234.mp3	Very talented with clear thoughts	test
common_voice_ta_19541236.mp3	Where is my money?	test
common_voice_ta_19541237.mp3	hunger is gone when one dies as you say	test
common_voice_ta_19670927.mp3	understanding that we are the world	test
common_voice_ta_19670928.mp3	being clear that thoughts make man	test
common_voice_ta_19671044.mp3	will give what you need--in that	test
common_voice_ta_19671045.mp3	Even if we are the losers	test
common_voice_ta_19671047.mp3	Don’t share evil things as identified by men of virtue	test
common_voice_ta_19671065.mp3	Vijaya Rani is shameless	test
common_voice_ta_19671066.mp3	Am asking a doubt, please answer suitably	test
common_voice_ta_19671067.mp3	Marriage preparations are going on in full swing	test
common_voice_ta_19671069.mp3	Speaking good words and without offending others will bring fame even after death	test
common_voice_ta_19671076.mp3	falling in love is universal so why object	test
common_voice_ta_19671078.mp3	never forget the past	test
common_voice_ta_19816055.mp3	never say a lie consciously, if so said the same conscious will kill you forever	test
common_voice_ta_19816059.mp3	lost myself in your beauty	test
common_voice_ta_19816062.mp3	different rules for different people	test
common_voice_ta_19816063.mp3	moving its feet step by step, the body swirling	test
common_voice_ta_19816064.mp3	going the wrong path he said	test
common_voice_ta_19816066.mp3	millions of people devoured on false things and got divided?	test
common_voice_ta_19819939.mp3	Let this daughter of mine be compared to a Satan	test
common_voice_ta_19819953.mp3	Even the sea will dry if its water if it is not brought back as rain by the clouds	test
common_voice_ta_19819990.mp3	coming home in the midnight from another town	test
common_voice_ta_19819991.mp3	spreading his fame in the ten directions	test
common_voice_ta_19820052.mp3	speak fluently in Tamil without hindrances	test
common_voice_ta_19642108.mp3	Hey my girl friend-who’s that who ordered destruction	test
common_voice_ta_19642109.mp3	Would have flown in the sky by now	test
common_voice_ta_19642110.mp3	on hearing! the kissing lips separated!	test
common_voice_ta_19642113.mp3	World can;t exist without water	test
common_voice_ta_19642114.mp3	Oh! What would the society think?	test
common_voice_ta_19642266.mp3	When selfishness is gone there is no war	test
common_voice_ta_19642268.mp3	world is eager	test
common_voice_ta_19642270.mp3	people living in the wild too have love marriages	test
common_voice_ta_19642276.mp3	I am a learned man he said	test
common_voice_ta_19642277.mp3	greatness of the learned, weakness of those not	test
common_voice_ta_19642279.mp3	suddenly stroke affected one side	test
common_voice_ta_19642292.mp3	dumplings in hand and injured mouth	test
common_voice_ta_19816079.mp3	The learned hail India	test
common_voice_ta_19816080.mp3	education leads to many opportunities	test
common_voice_ta_19816082.mp3	Let’s do gardening	test
common_voice_ta_19816083.mp3	Those were the days--ours	test
common_voice_ta_19816086.mp3	Oh beautiful and loveable hero	test
common_voice_ta_19816087.mp3	The help is big! see it’s so big!	test
common_voice_ta_19816092.mp3	in the name of god	test
common_voice_ta_19816105.mp3	When this sound fell on their ears	test
common_voice_ta_19816112.mp3	groom and twirl your moustache and point it upwards!	test
common_voice_ta_19816118.mp3	‘’my love is divine of the high order	test
common_voice_ta_19816124.mp3	the eyes seductively invite the hero	test
common_voice_ta_19816156.mp3	encountered the cow as she walked along	test
common_voice_ta_19373203.mp3	Righteousness shall be thy deed	test
common_voice_ta_19373204.mp3	The lady was the boon of the penance!	test
common_voice_ta_19373205.mp3	Tamil is our right to our cultural root	test
common_voice_ta_19373207.mp3	milk oozing profusely	test
common_voice_ta_19373208.mp3	instructed to have the sword laced with poison ready	test
common_voice_ta_19373209.mp3	understanding its greatness	test
common_voice_ta_19373210.mp3	What else is the news?	test
common_voice_ta_19373212.mp3	Nothing had noble thoughts!	test
common_voice_ta_19373213.mp3	I have a different opinion’’	test
common_voice_ta_19373214.mp3	like the porcupine raising its quills	test
common_voice_ta_19373215.mp3	drowned in misery?’’	test
common_voice_ta_19373216.mp3	The child shared thus	test
common_voice_ta_19373217.mp3	We have seen humanity ruling the world	test
common_voice_ta_19303061.mp3	saying ‘’ Don;t shoot me!’’	test
common_voice_ta_19303062.mp3	People who have casteism at their hearts and act accordingly	test
common_voice_ta_19303063.mp3	like Tamil and its mellifluous flow like the honey, my dear baby you sleep now	test
common_voice_ta_19303064.mp3	Let’s the crown the Lion today itself	test
common_voice_ta_19303090.mp3	The education obtained by selling all the property	test
common_voice_ta_19303091.mp3	The beautiful lady is not at fault	test
common_voice_ta_19303092.mp3	If he runs away with the (money) the other side	test
common_voice_ta_19303093.mp3	Like a dry leaf in a huge hall	test
common_voice_ta_19303094.mp3	making love cocooning in a soft bed	test
common_voice_ta_19303136.mp3	He was waiting in the grove	test
common_voice_ta_19303137.mp3	ate quickly,and exited	test
common_voice_ta_19303138.mp3	The door is very heavy he said	test
common_voice_ta_19303139.mp3	Analyze the thoughts in the mind	test
common_voice_ta_19303140.mp3	join in good company	test
common_voice_ta_19141971.mp3	Let the royal servants judiciously serve	test
common_voice_ta_19141972.mp3	My agricultural lands are there he said	test
common_voice_ta_19141973.mp3	burnt the poisonous plant	test
common_voice_ta_19141974.mp3	The lady seeing his lover perplexed	test
common_voice_ta_19141975.mp3	Let even the handicapped learn	test
common_voice_ta_19141976.mp3	Don’t wander like a lazy dumb	test
common_voice_ta_19141977.mp3	The sparkling sky!	test
common_voice_ta_19141978.mp3	The sun rising from the ocean	test
common_voice_ta_19141979.mp3	Let thy service to the society be unblemished!	test
common_voice_ta_19141980.mp3	spilled the milk form the milk pot”	test
common_voice_ta_19141981.mp3	As you grown in front of my eyes	test
common_voice_ta_19141982.mp3	Give it! Give it! quickly	test
common_voice_ta_19141983.mp3	like the tortoise cocooning itself inside the shell, let’s control the five senses	test
common_voice_ta_19141984.mp3	Theatre and playground	test
common_voice_ta_19141985.mp3	if the petitioner runs away the case is of no use	test
common_voice_ta_19385505.mp3	I will come first next time for sure	test
common_voice_ta_19385511.mp3	“Oh my dear, you love those two herbs	test
common_voice_ta_19385514.mp3	spoiled the love	test
common_voice_ta_19385539.mp3	a perpetual father	test
common_voice_ta_19385540.mp3	Oh moon! if you have a pal please show me	test
common_voice_ta_19385541.mp3	Thought he was sad	test
common_voice_ta_19385542.mp3	The snake moves from the ground rapidly	test
common_voice_ta_19385579.mp3	Leftover food after eating	test
common_voice_ta_19385580.mp3	Oh you like the glowing sun, who has come to bun the casteism	test
common_voice_ta_19385582.mp3	Your wife delivered at an auspicious she said	test
common_voice_ta_19385586.mp3	What’s in the book was:	test
common_voice_ta_19385674.mp3	Will blabber that the kingdom will be his in a few days	test
common_voice_ta_19385675.mp3	Being educated will show you great even if you are small in life	test
common_voice_ta_19385676.mp3	Stand straight, don’t bend	test
common_voice_ta_19385677.mp3	shrubs- potholes	test
common_voice_ta_19385685.mp3	flower in the garden! cast in gold	test
common_voice_ta_19385686.mp3	Where’s the boy? Hey you be here	test
common_voice_ta_19385687.mp3	Gone are those days when we had small canals for agriculture	test
common_voice_ta_19385688.mp3	Tamil was born along with the eternal sea	test
common_voice_ta_19385689.mp3	‘Dakshinayanam’ is a phase when the sunrise move towards Southeast	test
common_voice_ta_19760795.mp3	wage paid to the agriculture workers	test
common_voice_ta_19760800.mp3	As such he kept it there	test
common_voice_ta_19760801.mp3	It’s known but just one thing!	test
common_voice_ta_19760802.mp3	will they be able to oppose us unanimously	test
common_voice_ta_19760840.mp3	Sweet Tamil language	test
common_voice_ta_19760879.mp3	Without eve just thinking	test
common_voice_ta_19760931.mp3	Sunshine	test
common_voice_ta_19760939.mp3	As it mingles-the love	test
common_voice_ta_19760941.mp3	And they have reached near by--	test
common_voice_ta_19760943.mp3	words without evil thoughts, and words spoken by those have understood truth are good words	test
common_voice_ta_19760981.mp3	standing at the peak of equality	test
common_voice_ta_19760990.mp3	seeing into her eyes and holding her hands he stood	test
common_voice_ta_19761011.mp3	Not so nice in fact	test
common_voice_ta_19761017.mp3	will cut you to pieces and offer to the fox	test
common_voice_ta_19761348.mp3	Like a ball out of mom’s hand	test
common_voice_ta_19761356.mp3	will see the high hills, gardens, river and nature	test
common_voice_ta_19761409.mp3	our sweet Tamil language	test
common_voice_ta_19761413.mp3	I said enter in! don’t stand!” he went	test
common_voice_ta_19761418.mp3	Don’t stand in a war zone	test
common_voice_ta_19761490.mp3	King’s horse travelling the whole country	test
common_voice_ta_19761492.mp3	He-in a holy country	test
common_voice_ta_19761505.mp3	The child with a swollen belly not speaking	test
common_voice_ta_19761507.mp3	She keeps on pinching me ever	test
common_voice_ta_19761508.mp3	Don’t roam around towns! stay put here	test
common_voice_ta_19761509.mp3	climbed down via the verandah	test
common_voice_ta_19761558.mp3	The misery of labour	test
common_voice_ta_19294224.mp3	Seen me roaring?	test
common_voice_ta_19294225.mp3	The agitated state of the child	test
common_voice_ta_19294226.mp3	My blood for the country of love	test
common_voice_ta_19294227.mp3	Brought the dead alive, then bowed before then !”	test
common_voice_ta_19294228.mp3	Come let’s see the Kings son	test
common_voice_ta_19294235.mp3	The moon in the sky over the river Sindhu	test
common_voice_ta_19294236.mp3	Saint Valluvar through this poems, brought out the virtues to be followed	test
common_voice_ta_19294237.mp3	mind with evil thoughts	test
common_voice_ta_19294238.mp3	would say many words	test
common_voice_ta_19294240.mp3	On hearing these words, Kuppan said “Aiyo”	test
common_voice_ta_19294241.mp3	When did this letter come	test
common_voice_ta_19294242.mp3	The child suffered from the disease-She said	test
common_voice_ta_19294243.mp3	The average climate in a place for thirty years is called ‘seasonal’	test
common_voice_ta_19294329.mp3	give up evil deeds	test
common_voice_ta_19294330.mp3	The young lady thus cried	test
common_voice_ta_19294331.mp3	Oh you young! - flowering creeper	test
common_voice_ta_19294332.mp3	ignorance? said the dames mother	test
common_voice_ta_19294333.mp3	no fear no fear no fear for ever	test
common_voice_ta_19294334.mp3	with abundant love like the vase expanse of the sea	test
common_voice_ta_19294335.mp3	That king disrespected the law!	test
common_voice_ta_19294336.mp3	like depicting a beautiful life	test
common_voice_ta_19294337.mp3	folding cloths is a big job	test
common_voice_ta_19294338.mp3	without jobs and dying in hunger	test
common_voice_ta_19294339.mp3	laughed aloud like a dead body	test
common_voice_ta_19294340.mp3	people with good virtues, on the women approaching them	test
common_voice_ta_19294341.mp3	those scenes if with compassion	test
common_voice_ta_19294343.mp3	threw me in the mud! never said the reason”	test
common_voice_ta_19159378.mp3	all the wealth spent in increased spend	test
common_voice_ta_19159379.mp3	Many thanks	test
common_voice_ta_19159380.mp3	Even the fire wood is wasted, because	test
common_voice_ta_19159381.mp3	Tapping the currency notes, feeling happy	test
common_voice_ta_19159382.mp3	Maid and the housewife	test
common_voice_ta_19159384.mp3	embrace! dedicate yourself	test
common_voice_ta_19159386.mp3	Mom please come here	test
common_voice_ta_19159388.mp3	The tides in the sea are caused by the gravity of the moon	test
common_voice_ta_19159390.mp3	through the holes dropped some	test
common_voice_ta_19159392.mp3	people born in the land of five years	test
common_voice_ta_19159393.mp3	hair hanging like the tail of the mice	test
common_voice_ta_19159394.mp3	will jump over the sea due to intense love	test
common_voice_ta_19159395.mp3	search for those what is rationale and intelligent	test
common_voice_ta_19159396.mp3	emerald green pond	test
common_voice_ta_19159397.mp3	like recurring income	test
common_voice_ta_19159398.mp3	small issue! but a life threat for us	test
common_voice_ta_19159399.mp3	Kept that too near the child!	test
common_voice_ta_19159400.mp3	Can you do a help for me please?	test
common_voice_ta_19159401.mp3	appeared like a hot iron	test
common_voice_ta_19159402.mp3	if you try to chase away superstition they may try to chase away-i would say	test
common_voice_ta_19159403.mp3	not leaning she opened the latch	test
common_voice_ta_19159404.mp3	being selfish with bothered with their earnings alone	test
common_voice_ta_19159405.mp3	I don’t know about that	test
common_voice_ta_19159406.mp3	‘what what’ asked the mother	test
common_voice_ta_19159407.mp3	understanding the world with known skills	test
common_voice_ta_19159408.mp3	robust body, hot iron	test
common_voice_ta_19159409.mp3	gardens and streams	test
common_voice_ta_19159410.mp3	Nectar as it is called with come over	test
common_voice_ta_19159411.mp3	opened and came back	test
common_voice_ta_19159412.mp3	failing Tamil Nadu should rise again	test
common_voice_ta_19332549.mp3	Don’t do evil things knowingly	test
common_voice_ta_19332550.mp3	brother-in-law, in the opposite cow shed	test
common_voice_ta_19332551.mp3	at the end of the small wall	test
common_voice_ta_19332552.mp3	if the lady love express herself through eye contact	test
common_voice_ta_19332553.mp3	See your human race	test
common_voice_ta_19332604.mp3	roar aloud to the world	test
common_voice_ta_19332605.mp3	you unmarried lady, you decide your future	test
common_voice_ta_19332607.mp3	placed the sword in the right hand	test
common_voice_ta_19332613.mp3	like a monkey which lost its tail	test
common_voice_ta_19422307.mp3	kuppan- laid on the bed with this head down	test
common_voice_ta_19422308.mp3	She didn’t learn the art of writing poems	test
common_voice_ta_19422327.mp3	small investments brings small profits; thousands	test
common_voice_ta_19422329.mp3	paint picture of love-said the dames!	test
common_voice_ta_19422331.mp3	like jewels made of sovereign gold	test
common_voice_ta_19422332.mp3	Like the flowing Ganges and Cauvery opinions emanate from heart	test
common_voice_ta_19422333.mp3	the poetry of the Tamils	test
common_voice_ta_19422346.mp3	labour	test
common_voice_ta_19422349.mp3	whoever may it be, will face humiliation if their words are not measured	test
common_voice_ta_19422351.mp3	by the riverside	test
common_voice_ta_19422353.mp3	water and moonlight-there	test
common_voice_ta_19422359.mp3	full of humour	test
common_voice_ta_19422361.mp3	Hey you captain! do as you said soon	test
common_voice_ta_19422364.mp3	Sangili here I am you know!	test
common_voice_ta_19422366.mp3	Land blessed by lord Buddha	test
common_voice_ta_19422368.mp3	Any delay won’t help now	test
common_voice_ta_19422375.mp3	laying unwilling to die	test
common_voice_ta_19422376.mp3	even the flood water was like hot iron	test
common_voice_ta_19422377.mp3	no fear, no worries! true is the truth	test
common_voice_ta_19422378.mp3	Kalaingar explaining in depth the meaning of Thirukkural	test
common_voice_ta_19422379.mp3	people seeking a new life after purification	test
common_voice_ta_19683392.mp3	live with the society	test
common_voice_ta_19683395.mp3	Calling said Sangili	test
common_voice_ta_19683397.mp3	let everything grow through Tamil language	test
common_voice_ta_19683439.mp3	if you think about the people without virtues	test
common_voice_ta_19683441.mp3	jumping above the Sanjivi hill	test
common_voice_ta_19683442.mp3	However firm and dedicated, if not in the job you perform, the world shall not praise you	test
common_voice_ta_19683443.mp3	saying so he shouted	test
common_voice_ta_19683444.mp3	Don’t speak with jealous	test
common_voice_ta_19683549.mp3	because of being widowed	test
common_voice_ta_19683551.mp3	I don’t regret about death, it’s like sugar candy for me	test
common_voice_ta_19683553.mp3	historically by the people who earn	test
common_voice_ta_19683691.mp3	indicated to run away through his look	test
common_voice_ta_19683693.mp3	where are the disciples of Jesus? my lady friend	test
common_voice_ta_19683694.mp3	dredged the deep sea to live	test
common_voice_ta_19683695.mp3	fell flat face down on the ground !	test
common_voice_ta_19684373.mp3	the welfare of the humans	test
common_voice_ta_19684374.mp3	will get ready hot water-have bath-she said	test
common_voice_ta_19684375.mp3	even the mighty admire	test
common_voice_ta_19684427.mp3	reclined in an easy chair	test
common_voice_ta_19777659.mp3	hey--he is a silly fellow	test
common_voice_ta_19777661.mp3	They both spent their lives in a sweet world	test
common_voice_ta_19777662.mp3	discipline has to be practiced and observed strictly. however educated it’s discipline that makes a man	test
common_voice_ta_19777671.mp3	The village people observed from the edges	test
common_voice_ta_19777672.mp3	Wheat grown in the Gangetic plains	test
common_voice_ta_19777673.mp3	The love of the lip	test
common_voice_ta_19777674.mp3	like the fragrance of flower	test
common_voice_ta_19777676.mp3	casteism and superstitions	test
common_voice_ta_19777678.mp3	retained? for that you need an unwavering talent	test
common_voice_ta_19777689.mp3	Active interest he thought” even before winking	test
common_voice_ta_19777728.mp3	kings ruling the world	test
common_voice_ta_19777750.mp3	why fighting and gossip? in this	test
common_voice_ta_19777751.mp3	A man without noble values is like good milk kept in an unclean vessel which gets spoiled	test
common_voice_ta_19777766.mp3	“just wait for half a minute more	test
common_voice_ta_19777805.mp3	lips like the ivy gourd fruit	test
common_voice_ta_19777808.mp3	grabbed the gruel	test
common_voice_ta_19777816.mp3	Kangeyan can be punished severely	test
common_voice_ta_19777819.mp3	I hand over the child to you	test
common_voice_ta_19777826.mp3	Through the rationalist way	test
common_voice_ta_19777827.mp3	The screen barred from seeing each other	test
common_voice_ta_19777828.mp3	is it good to accept this bad name? lady friend	test
common_voice_ta_19777831.mp3	make hay while sun shines	test
common_voice_ta_19777832.mp3	Those were the action of the parents	test
common_voice_ta_19777833.mp3	The ever lasting love in the heart	test
common_voice_ta_19777839.mp3	The thief hid behind the door on hearing	test
common_voice_ta_19777840.mp3	welcomed, offered a seat and offer good hospitality	test
common_voice_ta_19777841.mp3	See all together! He	test
common_voice_ta_19313172.mp3	will god appear before him?	test
common_voice_ta_19313173.mp3	will these happen in this life	test
common_voice_ta_19313174.mp3	Oh my god, these people	test
common_voice_ta_19313175.mp3	people who don’t possess intense knowledge can’t be politely speaking people	test
common_voice_ta_19313176.mp3	‘Where is lord Ram! where is Ram’s blessing! Sanjeevi	test
common_voice_ta_19313187.mp3	talented ladies being treated unequally	test
common_voice_ta_19313188.mp3	The parents who cared for you so much	test
common_voice_ta_19313189.mp3	long daydream	test
common_voice_ta_19313191.mp3	bustling with youth and beauty	test
common_voice_ta_19313222.mp3	the burglar hidden behind the door	test
common_voice_ta_19313223.mp3	younger brother, come here	test
common_voice_ta_19313226.mp3	give me ten thousand as loan	test
common_voice_ta_19346680.mp3	All the directions-heat	test
common_voice_ta_19346681.mp3	a man with solid ideas and unwavering conviction	test
common_voice_ta_19346682.mp3	a good Tamil word	test
common_voice_ta_19346683.mp3	Are you well?	test
common_voice_ta_19346690.mp3	Even when awake--in the country	test
common_voice_ta_19346691.mp3	So tired that the heart and eyes were weak	test
common_voice_ta_19346692.mp3	put off the burning light	test
common_voice_ta_19346693.mp3	not wearing colourful flowers-that	test
common_voice_ta_19346694.mp3	did one thing	test
common_voice_ta_19346700.mp3	Don’t fall into doing evil things	test
common_voice_ta_19346701.mp3	Dear daughter born after penance	test
common_voice_ta_19346702.mp3	people who worked together reaped huge profits	test
common_voice_ta_19346704.mp3	honest internal discipline controlling the five senses	test
common_voice_ta_19346713.mp3	learn the skills! don’t bend for anyone	test
common_voice_ta_19346716.mp3	slipped--wait brother-in-law	test
common_voice_ta_19346717.mp3	Till the world ends-righteous war	test
common_voice_ta_19346718.mp3	listened to good Tamil in their ears	test
common_voice_ta_19346729.mp3	birth is common to all living beings, however depending on the quality of work you are praised	test
common_voice_ta_19346731.mp3	Earning in a moral way will yield good	test
common_voice_ta_19346732.mp3	worried the dame’s heart is dark!	test
common_voice_ta_19346733.mp3	poetry with eight lines, each one having four words	test
common_voice_ta_19346734.mp3	Chop the world into pieces	test
common_voice_ta_19346760.mp3	even if the friend feeds you poison	test
common_voice_ta_19346761.mp3	Why are you standing here? ‘’come on get the hill’’	test
common_voice_ta_19346762.mp3	Generations have passed, we haven’t still over come the short comings	test
common_voice_ta_19346763.mp3	the sister said	test
common_voice_ta_19346764.mp3	Gave the pistol in the hand	test
common_voice_ta_19346775.mp3	people who embraced you as my own clan	test
common_voice_ta_19346776.mp3	Which company are you working	test
common_voice_ta_19346777.mp3	Where’s the independence war in this situation?	test
common_voice_ta_19346778.mp3	The word is strong	test
common_voice_ta_19346779.mp3	Mother nature in the sky	test
common_voice_ta_19346785.mp3	Don’t disturb my heart! go go away hiding	test
common_voice_ta_19346786.mp3	if you continue to think so-Mother god will appear over your shoulder	test
